InvoiceID,CustomerID,ProductID,SalesPersonID,DateID,Amount
52,729,69,5,11/9/2014,345.47
53,425,52,1,9/15/2013,540.08
54,082,38,6,4/21/2013,-210.09
55,187,92,8,8/15/2014,704.89
56,972,48,0,6/28/2013,529.95
57,351,22,5,11/26/2014,414.16
58,820,83,6,8/10/2013,485.12
59,089,28,2,6/7/2013,696.57
60,372,14,6,8/30/2013,337.66
61,965,07,0,1/31/2013,802.98
62,464,62,9,8/6/2014,-41.61
63,859,60,7,9/13/2014,548.19
64,928,14,8,11/18/2013,971.05
65,119,97,2,5/9/2013,113.25
66,009,12,1,9/26/2014,522.34
67,842,85,9,6/14/2014,416.05
68,218,23,8,8/21/2014,237.65
69,927,12,0,2/27/2013,510.16
70,983,83,9,8/9/2014,554.75
71,843,26,3,4/1/2014,650.36
72,891,16,7,4/9/2013,1025.26
73,367,34,7,6/19/2013,107.03
74,778,59,8,9/8/2014,339.18
75,240,23,5,4/21/2013,649.78
76,319,43,0,2/28/2013,481.45
77,313,36,6,8/24/2014,206.49
78,624,08,3,9/29/2013,325.82
79,794,38,7,9/2/2013,760.33
80,437,65,0,5/9/2014,471.97
81,853,19,2,10/7/2013,656.23
82,121,82,7,8/20/2013,161.0
83,656,86,3,10/12/2014,402.42
84,160,33,4,6/1/2014,630.13
85,910,03,9,11/5/2014,556.12
86,702,26,4,9/27/2014,338.21
87,105,50,4,10/8/2014,679.93
88,575,67,8,3/9/2014,591.91
89,564,79,5,10/8/2014,680.56
90,786,17,6,3/2/2014,548.65
91,443,76,6,1/16/2014,277.13
92,542,93,3,3/18/2013,102.11
93,306,76,0,6/9/2014,628.68
94,003,92,8,7/17/2014,250.59
95,897,94,6,8/9/2013,762.02
96,064,20,4,3/27/2014,413.15
97,102,72,1,5/23/2014,671.11
98,962,10,2,2/20/2014,660.48
99,652,66,4,5/4/2013,560.99
100,337,92,8,4/24/2013,378.88
101,089,90,9,1/30/2014,492.18
102,430,52,4,6/28/2013,358.39
103,654,00,4,2/19/2013,523.6
104,427,37,0,4/17/2013,804.86
105,842,37,2,12/3/2013,765.19
106,281,57,0,2/10/2013,517.71
107,130,03,7,4/19/2013,420.76
108,373,32,6,7/19/2014,470.58
109,493,80,7,7/3/2013,730.5
110,403,45,2,12/4/2013,16.67
111,401,82,2,3/1/2013,906.0
112,974,95,7,12/12/2013,505.03
113,806,43,3,8/11/2013,899.93
114,419,89,2,1/8/2014,677.54
115,525,70,7,6/29/2014,467.16
116,843,22,3,7/3/2014,122.8
117,853,40,9,8/1/2013,509.13
118,124,83,2,3/27/2013,525.75
119,829,05,3,9/14/2014,168.93
120,457,84,0,2/17/2014,729.81
121,907,87,1,7/4/2014,481.71
122,339,01,0,7/12/2013,121.33
123,176,25,1,11/27/2013,359.63
124,888,23,0,10/30/2013,602.06
125,123,84,1,5/6/2013,723.91
126,031,16,6,10/21/2013,685.72
127,215,69,0,6/28/2014,839.82
128,205,86,5,5/17/2014,479.67
129,765,56,2,3/27/2014,762.23
130,344,93,9,7/14/2014,882.1
131,318,96,6,7/23/2013,442.08
132,082,86,1,10/8/2013,528.86
133,588,49,5,2/26/2014,1028.15
134,896,53,1,1/11/2014,742.84
135,659,39,2,11/24/2014,60.29
136,412,90,9,3/14/2014,509.62
137,363,79,3,3/10/2014,147.67
138,502,98,9,4/2/2013,776.93
139,194,49,7,1/6/2013,561.74
140,585,15,0,5/16/2014,387.16
141,787,16,2,5/1/2014,611.71
142,393,61,5,2/8/2013,394.73
143,700,57,6,6/19/2013,503.76
144,740,76,4,10/28/2013,313.46
145,560,31,9,8/24/2014,266.73
146,813,15,7,1/25/2013,529.53
147,008,94,0,7/20/2013,1000.24
148,559,66,7,5/9/2013,686.04
149,967,22,3,6/1/2014,468.33
150,962,74,5,10/20/2013,-154.53
151,264,21,6,7/27/2013,548.39
152,622,46,7,10/23/2014,688.87
153,088,22,4,5/7/2013,655.89
154,898,87,8,7/22/2013,338.82
155,909,18,5,2/23/2014,1158.38
156,224,45,8,2/15/2013,329.36
157,244,06,2,2/6/2013,546.97
158,914,07,3,6/22/2013,815.12
159,637,30,5,3/7/2013,277.63
160,286,01,4,2/6/2013,483.3
161,261,16,9,3/19/2013,758.72
162,173,05,7,8/19/2014,647.31
163,483,18,7,4/9/2013,492.9
164,568,98,3,1/22/2013,344.69
165,229,29,6,3/9/2013,822.55
166,643,65,9,4/6/2014,433.82
167,807,85,5,10/5/2013,477.13
168,933,73,5,1/12/2014,434.23
169,109,32,4,11/4/2014,417.18
170,427,40,1,6/17/2014,286.19
171,987,65,4,12/17/2013,574.31
172,473,58,8,8/1/2014,675.13
173,541,09,5,8/25/2014,123.73
174,370,50,8,7/23/2014,790.09
175,053,26,7,4/26/2014,583.7
176,929,14,7,8/27/2013,484.96
177,855,28,2,5/24/2013,488.94
178,923,72,2,11/30/2013,-145.38
179,021,79,3,9/10/2014,867.04
180,499,44,8,6/28/2014,86.18
181,339,97,0,5/5/2014,733.16
182,519,71,6,1/30/2014,383.14
183,515,43,9,5/8/2014,261.24
184,537,97,3,6/21/2014,872.54
185,660,19,5,11/5/2013,682.05
186,608,74,3,10/11/2013,481.81
187,102,62,8,3/29/2014,461.8
188,186,20,1,6/24/2013,125.85
189,592,49,5,9/7/2013,363.76
190,376,97,5,9/8/2014,1006.58
191,823,78,6,7/2/2014,361.56
192,909,11,2,4/12/2014,785.31
193,094,17,7,4/3/2014,736.17
194,464,34,5,5/5/2014,18.99
195,234,61,9,7/28/2014,622.27
196,575,03,8,1/13/2013,448.6
197,623,32,1,3/1/2013,512.61
198,953,07,5,11/24/2013,598.8
199,019,22,4,10/6/2014,628.74
200,920,87,1,12/16/2013,-1.12
201,374,69,9,3/7/2014,399.48
202,941,03,2,9/18/2013,188.89
203,783,55,8,10/13/2013,612.64
204,752,46,0,9/2/2014,480.78
205,880,76,5,8/9/2013,696.27
206,451,23,9,10/6/2013,687.92
207,551,89,2,7/20/2014,768.86
208,024,54,0,11/29/2013,584.3
209,792,84,5,7/26/2013,381.15
210,365,80,4,1/6/2013,487.67
211,554,95,3,11/13/2014,221.95
212,705,81,9,10/17/2013,662.53
213,948,19,4,8/1/2014,563.41
214,917,52,8,7/7/2014,269.04
215,021,40,8,7/18/2013,444.45
216,173,54,8,4/12/2014,566.34
217,113,48,8,3/28/2013,391.9
218,620,06,2,12/27/2013,200.05
219,629,31,1,9/4/2014,608.67
220,338,14,6,5/19/2014,384.89
221,726,53,9,7/12/2014,414.07
222,673,90,2,4/26/2014,270.49
223,752,94,1,9/24/2013,423.42
224,293,54,6,10/30/2013,775.84
225,901,51,5,2/1/2014,550.92
226,741,66,5,11/12/2014,606.43
227,130,65,9,11/26/2013,868.62
228,857,63,4,11/22/2014,828.77
229,642,10,0,6/18/2014,836.95
230,321,14,5,6/19/2014,724.89
231,074,95,2,3/29/2014,31.35
232,327,25,0,3/9/2014,-91.19
233,186,10,5,11/8/2014,231.57
234,594,53,0,6/20/2014,517.02
235,466,48,1,7/13/2013,911.23
236,607,32,6,1/15/2014,532.78
237,519,01,1,12/13/2013,557.51
238,803,93,4,3/24/2014,99.42
239,408,55,3,4/16/2014,720.6
240,410,50,2,6/12/2014,222.81
241,267,10,3,1/25/2014,442.42
242,743,69,3,4/20/2014,517.86
243,105,63,4,1/6/2013,106.12
244,546,58,2,11/16/2013,630.93
245,366,98,4,7/21/2013,444.93
246,605,52,2,2/6/2013,276.91
247,849,99,9,11/17/2014,784.06
248,546,32,9,10/20/2013,450.68
249,477,96,7,1/7/2014,276.19
250,495,54,8,12/19/2013,849.83
251,570,77,8,5/18/2014,618.12
252,206,22,4,7/6/2013,554.84
253,086,27,2,7/17/2013,608.78
254,158,91,5,5/10/2013,324.32
255,642,80,4,8/29/2014,255.17
256,299,23,8,2/7/2014,563.63
257,450,03,5,8/6/2013,1123.45
258,092,23,1,4/29/2013,504.45
259,743,62,7,9/4/2013,317.2
260,026,26,1,7/17/2014,145.68
261,433,69,0,8/5/2013,169.57
262,128,75,1,3/23/2014,-12.51
263,203,84,3,7/13/2014,193.49
264,691,33,8,9/3/2013,476.43
265,100,39,8,1/3/2013,830.4
266,755,81,3,3/1/2013,617.93
267,307,92,5,5/23/2014,260.09
268,766,66,9,4/4/2014,353.58
269,445,20,9,1/12/2014,460.88
270,315,51,1,3/6/2013,262.27
271,059,97,4,9/3/2014,287.46
272,476,37,6,7/15/2014,465.83
273,611,23,2,9/11/2013,481.15
274,487,60,2,8/14/2014,472.63
275,639,29,4,11/29/2014,67.73
276,604,76,9,7/25/2014,886.61
277,945,18,6,10/16/2014,639.69
278,549,18,9,3/21/2014,797.62
279,434,49,7,10/16/2014,60.03
280,031,09,3,1/10/2013,922.07
281,051,78,7,12/23/2013,549.93
282,637,14,3,2/11/2013,539.4
283,393,82,3,3/23/2014,805.28
284,697,06,0,10/30/2013,-180.93
285,777,62,6,10/1/2014,741.73
286,138,76,5,7/5/2013,-29.93
287,962,24,9,10/4/2014,271.28
288,143,16,7,1/2/2013,-9.16
289,805,26,5,2/7/2014,1249.26
290,771,24,5,8/26/2014,567.9
291,040,65,5,5/19/2014,798.41
292,420,75,0,9/23/2014,438.06
293,759,12,6,2/8/2014,528.35
294,806,72,2,1/9/2013,407.8
295,700,93,1,8/17/2013,606.75
296,021,60,9,9/3/2013,698.86
297,569,19,4,4/14/2013,427.89
298,537,01,8,7/11/2014,527.12
299,455,88,1,11/19/2014,554.3
300,119,72,2,6/1/2013,723.37
301,520,35,7,3/20/2013,667.46
302,413,55,1,1/30/2013,241.07
303,493,80,6,3/17/2014,921.33
304,453,81,3,1/10/2014,337.19
305,099,93,8,10/7/2014,267.19
306,383,82,2,12/23/2013,228.77
307,520,14,6,10/2/2013,410.2
308,976,24,0,3/15/2013,408.31
309,168,24,1,8/5/2014,766.33
310,147,90,0,3/10/2014,661.02
311,819,68,5,1/5/2013,919.36
312,763,55,1,5/5/2013,871.23
313,381,02,1,6/29/2013,809.55
314,557,91,0,11/24/2013,512.58
315,442,66,6,1/8/2014,-60.04
316,921,45,9,7/23/2014,379.1
317,268,11,7,1/10/2014,476.99
318,693,65,8,11/17/2013,474.59
319,680,94,2,6/14/2013,514.29
320,098,34,3,12/16/2013,541.77
321,925,66,9,9/4/2014,406.75
322,565,19,9,3/16/2014,518.6
323,065,13,8,1/15/2013,533.29
324,142,49,5,4/25/2013,495.75
325,120,51,8,7/2/2013,487.01
326,899,73,3,4/24/2014,672.64
327,171,43,6,6/20/2014,734.48
328,091,43,7,8/31/2014,575.85
329,535,94,6,9/2/2013,155.51
330,747,41,1,6/29/2014,675.65
331,106,49,3,7/27/2014,150.02
332,363,46,7,8/21/2014,418.38
333,190,57,7,1/28/2013,323.32
334,352,37,0,6/25/2013,718.56
335,826,88,1,12/1/2013,468.92
336,500,31,1,10/20/2014,275.4
337,640,04,6,1/16/2014,225.08
338,742,01,4,7/30/2013,250.26
339,051,04,5,1/7/2013,529.7
340,655,25,5,3/2/2013,609.86
341,251,21,6,11/14/2013,474.34
342,552,27,7,9/5/2013,953.96
343,701,28,1,2/1/2014,174.51
344,777,19,4,8/22/2014,627.7
345,701,38,2,1/14/2014,482.36
346,852,58,3,7/17/2014,635.0
347,468,18,7,7/22/2013,870.07
348,018,91,8,4/26/2013,680.79
349,795,82,7,11/27/2014,584.76
350,406,27,4,1/29/2013,123.68
351,005,53,9,8/4/2014,383.43
352,168,79,6,1/22/2014,727.95
353,167,41,2,11/15/2014,853.3
354,568,36,7,6/12/2014,542.5
355,242,88,9,1/24/2014,310.59
356,508,91,8,10/2/2013,641.83
357,155,57,8,9/14/2013,1102.23
358,475,28,0,6/1/2014,920.96
359,070,30,1,7/15/2014,49.1
360,934,88,1,2/19/2013,845.98
361,644,85,4,5/25/2014,299.01
362,624,28,4,4/11/2013,-39.12
363,808,70,8,5/31/2013,905.79
364,275,34,6,3/19/2013,398.85
365,133,06,9,4/3/2013,567.67
366,417,25,0,1/10/2013,455.89
367,802,29,7,1/15/2013,562.18
368,381,05,3,1/26/2014,820.79
369,238,84,1,9/20/2013,466.73
370,940,06,3,3/20/2013,797.29
371,582,23,8,4/22/2014,710.49
372,921,26,6,5/5/2014,660.71
373,585,46,9,10/15/2013,365.61
374,049,56,0,9/23/2013,564.31
375,294,84,0,1/29/2014,-63.22
376,391,72,8,5/30/2013,504.63
377,126,40,8,9/19/2014,450.51
378,398,36,1,9/13/2014,157.47
379,404,60,6,6/26/2014,645.2
380,889,11,8,11/8/2014,721.94
381,487,60,6,7/26/2013,530.9
382,771,59,9,4/1/2014,956.66
383,268,19,6,11/6/2013,621.94
384,795,29,2,7/3/2014,382.32
385,153,98,0,11/3/2014,764.97
386,043,06,2,4/12/2013,89.83
387,664,55,8,7/4/2014,568.1
388,777,24,1,3/21/2013,31.93
389,536,64,7,1/19/2013,680.89
390,258,91,1,12/19/2013,589.78
391,856,23,7,8/20/2014,340.2
392,891,47,5,1/23/2014,535.02
393,946,28,3,12/28/2013,831.69
394,397,68,6,5/11/2013,484.09
395,299,15,6,2/14/2014,328.68
396,324,22,6,10/17/2014,762.52
397,398,91,1,3/8/2013,541.48
398,744,92,0,10/5/2013,279.78
399,523,35,8,3/6/2014,645.04
400,724,03,5,6/8/2013,812.43
401,227,82,6,5/30/2014,533.52
402,002,86,9,2/11/2013,379.86
403,071,48,4,11/18/2013,810.21
404,545,47,9,10/15/2014,193.48
405,343,83,3,9/1/2013,380.81
406,101,86,2,11/21/2014,169.57
407,272,82,9,8/19/2014,131.01
408,122,17,1,2/11/2014,313.07
409,390,61,8,9/23/2013,63.39
410,810,57,5,8/31/2013,495.85
411,859,37,2,8/17/2013,407.05
412,558,29,1,8/14/2013,941.36
413,380,12,9,2/26/2013,563.21
414,793,48,0,4/8/2013,691.15
415,871,84,5,5/18/2014,310.08
416,323,93,9,5/10/2013,666.99
417,898,38,7,5/9/2013,572.99
418,642,34,2,12/5/2013,288.59
419,681,53,3,12/21/2013,615.52
420,546,80,2,1/9/2014,482.1
421,754,89,8,5/25/2013,94.47
422,099,47,8,1/13/2014,760.27
423,110,48,8,3/10/2013,381.2
424,796,46,3,1/28/2014,-97.57
425,400,52,5,3/28/2014,947.64
426,640,21,9,9/27/2014,648.6
427,007,91,8,1/24/2014,372.05
428,473,11,9,9/18/2014,749.94
429,191,33,6,10/31/2014,597.66
430,556,75,6,4/27/2013,917.44
431,606,74,1,1/18/2014,975.35
432,282,91,8,12/7/2013,708.35
433,343,85,2,5/22/2013,877.22
434,625,80,4,6/2/2014,659.02
435,792,93,7,9/2/2014,811.82
436,335,52,4,7/28/2014,443.35
437,580,80,7,1/19/2013,626.61
438,322,57,0,4/20/2013,631.3
439,663,84,5,1/21/2014,577.69
440,123,78,1,9/5/2013,650.56
441,564,20,8,7/8/2013,631.46
442,181,28,9,11/7/2014,131.76
443,100,85,5,8/15/2014,294.93
444,293,86,0,1/4/2014,411.44
445,293,99,0,7/29/2014,412.41
446,729,47,9,8/4/2013,931.95
447,350,02,4,1/30/2014,723.34
448,014,72,3,8/7/2014,650.14
449,347,47,9,9/22/2013,633.67
450,600,78,2,1/12/2014,545.16
451,214,32,9,7/7/2014,501.72
452,549,79,9,9/15/2013,963.78
453,171,88,6,4/15/2013,379.66
454,961,29,2,10/10/2014,721.14
455,107,66,8,12/28/2013,403.4
456,342,99,7,10/10/2014,50.88
457,778,45,3,1/4/2014,-26.25
458,271,77,1,8/2/2014,238.62
459,347,46,3,4/18/2013,801.71
460,478,53,3,10/13/2014,169.93
461,842,79,9,5/15/2014,-8.04
462,458,59,0,7/4/2013,741.7
463,087,29,4,2/26/2013,319.26
464,497,40,2,9/13/2013,501.08
465,820,02,4,9/26/2013,596.94
466,153,13,0,10/11/2014,848.89
467,289,37,2,8/20/2014,952.73
468,250,18,3,11/7/2013,727.8
469,036,17,6,4/5/2014,790.81
470,956,21,6,5/29/2014,671.79
471,927,81,9,4/14/2014,96.97
472,384,71,4,10/4/2013,204.77
473,952,33,1,8/12/2013,807.51
474,408,80,3,8/14/2014,486.75
475,983,37,9,8/5/2013,571.09
476,807,27,6,9/16/2013,442.11
477,808,57,0,10/24/2013,681.58
478,664,11,3,6/16/2013,550.67
479,902,71,4,11/9/2013,406.2
480,746,49,6,3/11/2014,507.56
481,059,30,0,1/21/2013,195.07
482,722,59,6,4/25/2014,377.64
483,767,35,1,3/27/2014,822.52
484,725,29,0,7/13/2013,617.36
485,794,97,1,12/3/2013,419.75
486,232,05,1,2/7/2014,273.09
487,791,00,0,3/27/2013,710.98
488,004,22,9,8/11/2013,368.1
489,645,90,1,2/6/2013,506.97
490,326,89,3,5/28/2014,644.1
491,604,69,1,1/9/2013,388.96
492,996,24,2,7/4/2014,484.49
493,677,20,0,2/10/2013,471.13
494,802,52,9,10/6/2013,375.96
495,177,22,2,5/21/2013,764.79
496,588,38,6,9/27/2014,395.82
497,453,30,0,7/8/2014,456.31
498,392,27,5,10/5/2014,609.19
499,320,37,8,11/13/2014,705.64
500,137,19,5,9/11/2013,496.51
501,389,73,5,3/8/2014,704.85
502,181,34,1,10/10/2013,668.17
503,191,37,5,3/10/2013,841.21
504,735,57,2,10/1/2013,605.97
505,581,78,4,9/24/2014,646.48
506,849,79,3,10/13/2013,659.37
507,139,02,3,4/17/2014,622.42
508,331,05,1,10/27/2013,86.14
509,126,49,3,9/6/2013,786.75
510,373,51,4,5/3/2013,294.57
511,863,94,4,7/9/2014,490.15
512,379,70,7,6/19/2014,634.92
513,297,47,3,8/17/2014,480.03
514,341,99,3,5/9/2014,144.45
515,432,81,0,9/20/2013,539.8
516,866,76,3,8/14/2013,-29.58
517,215,63,5,7/2/2013,722.73
518,865,36,1,4/18/2014,1051.9
519,762,71,7,1/3/2013,102.34
520,877,05,7,8/27/2014,432.29
521,002,39,8,9/18/2014,840.23
522,016,65,7,4/28/2013,259.7
523,959,29,7,11/9/2013,370.76
524,176,54,5,8/5/2013,508.46
525,894,75,6,6/6/2014,430.65
526,824,42,6,6/3/2014,509.15
527,543,38,9,1/9/2014,694.1
528,716,02,9,3/12/2013,416.85
529,531,47,5,9/22/2013,362.52
530,196,31,4,11/15/2013,205.48
531,054,97,9,8/16/2014,174.72
532,321,95,8,10/6/2013,654.83
533,423,38,6,6/15/2014,882.77
534,522,85,1,9/25/2013,488.81
535,998,29,0,10/21/2013,254.66
536,061,17,8,1/20/2014,125.47
537,654,67,6,11/24/2013,274.63
538,263,97,9,2/22/2014,229.08
539,105,48,9,9/17/2013,734.34
540,787,80,3,3/7/2013,575.28
541,224,50,3,2/16/2013,56.24
542,703,64,0,9/21/2013,247.5
543,796,49,9,4/29/2014,572.49
544,734,50,5,7/30/2013,486.6
545,391,39,0,6/14/2014,580.05
546,453,12,3,11/7/2013,727.98
547,446,68,9,12/5/2013,274.38
548,374,70,1,1/4/2014,365.85
549,072,69,8,2/2/2014,18.44
550,195,46,0,1/19/2013,950.3
551,604,70,3,10/29/2013,476.27
552,146,81,6,3/5/2014,694.34
553,089,82,9,1/25/2013,220.23
554,436,61,9,9/6/2013,48.88
555,428,02,6,8/4/2014,647.13
556,987,97,0,4/13/2013,162.26
557,951,27,1,10/5/2014,695.96
558,409,80,6,2/1/2014,-66.79
559,239,97,5,4/29/2014,531.01
560,910,23,0,10/20/2014,283.55
561,971,84,7,3/22/2014,-7.91
562,987,30,0,10/19/2013,387.51
563,977,42,9,7/22/2014,547.35
564,328,35,9,4/26/2013,732.83
565,719,02,7,8/20/2014,203.8
566,900,29,4,3/1/2013,581.77
567,289,46,6,1/25/2013,631.2
568,810,51,4,11/15/2014,823.88
569,388,15,0,8/3/2014,399.07
570,473,36,2,10/26/2013,227.54
571,463,70,7,7/9/2014,490.41
572,079,78,4,11/1/2014,742.59
573,977,90,2,10/15/2013,551.74
574,074,17,5,4/14/2013,270.84
575,547,82,1,5/28/2013,681.06
576,430,38,0,6/8/2014,687.76
577,203,39,9,8/11/2014,515.73
578,451,63,4,4/20/2013,546.42
579,106,26,4,11/25/2014,468.01
580,749,00,0,12/12/2013,654.11
581,080,46,1,5/2/2014,702.93
582,427,26,2,11/24/2013,730.61
583,885,25,5,7/17/2013,518.51
584,005,45,4,11/30/2013,246.84
585,733,86,2,8/18/2013,469.02
586,082,44,9,4/27/2013,438.85
587,651,30,9,3/20/2014,638.27
588,013,05,5,1/27/2013,446.0
589,983,12,3,4/14/2013,123.01
590,254,88,4,5/24/2014,758.9
591,199,77,4,3/25/2014,215.89
592,675,99,4,3/18/2014,378.09
593,116,43,0,9/20/2013,406.54
594,474,83,2,2/6/2013,947.43
595,671,75,0,9/24/2013,200.53
596,231,11,6,2/5/2013,121.41
597,623,43,0,1/21/2013,1391.58
598,683,32,1,1/25/2013,40.66
599,468,89,7,3/16/2014,521.43
600,398,41,9,8/1/2014,313.73
601,349,30,9,1/20/2014,131.96
602,768,28,3,6/16/2013,764.35
603,568,27,9,2/28/2014,240.16
604,645,25,1,7/22/2013,876.39
605,381,52,9,8/20/2014,550.56
606,586,93,8,12/16/2013,881.42
607,960,36,7,3/21/2014,978.5
608,614,99,4,12/14/2013,1020.45
609,430,20,4,10/27/2013,452.75
610,205,89,8,7/27/2014,895.69
611,638,09,0,1/28/2013,191.5
612,705,86,4,3/17/2014,673.22
613,990,77,1,12/15/2013,309.7
614,802,89,6,5/28/2013,443.18
615,214,73,2,5/25/2014,417.14
616,693,84,0,3/9/2014,334.13
617,690,11,8,10/31/2013,-245.48
618,757,93,8,8/16/2013,723.8
619,613,99,9,10/6/2014,-34.35
620,381,34,6,7/30/2014,980.09
621,385,87,6,8/10/2014,584.67
622,606,07,2,8/15/2013,189.77
623,221,34,4,10/15/2014,47.86
624,166,63,0,1/3/2013,361.45
625,878,20,3,9/15/2014,601.04
626,482,61,6,3/31/2014,342.28
627,642,48,0,9/19/2013,873.28
628,188,92,6,6/13/2013,515.78
629,029,48,8,7/21/2013,666.0
630,068,21,6,10/19/2013,32.77
631,945,20,7,2/12/2013,556.05
632,020,20,3,5/29/2014,834.45
633,304,56,1,1/1/2013,837.6
634,632,80,8,6/24/2013,880.67
635,376,75,6,10/15/2014,805.74
636,719,19,4,5/4/2014,441.15
637,849,24,7,1/9/2014,330.09
638,475,07,5,3/31/2014,308.3
639,259,54,1,2/5/2014,546.5
640,190,08,6,11/11/2013,810.9
641,606,41,3,11/7/2014,480.14
642,980,76,5,1/23/2014,223.04
643,919,90,6,5/5/2013,531.71
644,417,04,7,12/29/2013,580.7
645,275,42,5,2/22/2014,520.31
646,140,83,3,1/25/2014,689.45
647,322,54,5,10/12/2013,475.69
648,554,95,4,10/8/2014,507.03
649,856,24,9,1/7/2014,794.94
650,521,25,1,5/19/2013,295.82
651,972,04,4,9/27/2014,517.62
652,072,22,4,8/5/2013,102.66
653,680,87,8,1/5/2014,467.32
654,377,43,9,9/20/2014,894.06
655,438,29,1,9/28/2014,670.08
656,131,99,0,11/11/2013,346.82
657,050,69,9,3/4/2013,411.06
658,348,86,9,9/19/2014,355.95
659,209,45,5,6/19/2013,521.03
660,056,13,5,3/19/2014,621.29
661,768,26,5,3/29/2014,676.61
662,896,42,7,5/26/2014,722.79
663,754,30,5,8/16/2013,392.24
664,681,37,4,9/16/2014,558.87
665,337,86,8,4/29/2014,836.48
666,808,54,4,11/23/2013,284.27
667,977,15,8,1/15/2014,653.31
668,209,94,9,1/24/2013,173.44
669,359,09,6,10/21/2013,118.42
670,186,97,0,3/12/2013,89.23
671,634,67,8,10/3/2014,268.7
672,839,01,5,4/9/2014,307.26
673,424,96,7,1/28/2014,275.88
674,120,62,0,4/12/2013,286.31
675,665,82,3,7/30/2013,561.4
676,106,08,8,1/16/2013,901.39
677,276,64,0,9/15/2013,470.95
678,026,93,0,2/14/2014,501.16
679,577,51,7,5/9/2013,478.25
680,001,00,3,1/17/2014,533.92
681,893,09,5,8/29/2014,436.49
682,259,36,6,1/10/2013,521.16
683,312,97,4,9/7/2013,493.72
684,841,01,4,7/16/2014,519.57
685,921,87,1,8/31/2013,27.5
686,840,19,1,6/18/2013,877.37
687,574,07,2,12/10/2013,761.84
688,191,83,9,7/22/2014,211.97
689,210,98,7,6/18/2013,528.79
690,380,65,3,10/24/2014,1096.64
691,268,01,8,7/31/2013,385.18
692,274,20,1,4/10/2013,906.86
693,481,71,1,9/27/2014,455.99
694,236,51,2,11/5/2014,459.99
695,673,43,4,3/9/2013,492.02
696,296,81,5,3/10/2014,687.11
697,924,32,7,10/25/2014,341.79
698,468,00,3,6/17/2014,352.54
699,690,17,6,5/9/2013,876.87
700,760,12,2,5/21/2013,827.8
701,335,72,2,9/4/2014,372.87
702,973,69,3,3/29/2013,428.94
703,967,01,5,10/25/2013,544.76
704,787,19,1,1/8/2013,504.0
705,952,81,0,6/20/2013,374.89
706,340,17,9,6/14/2014,432.16
707,020,42,5,1/26/2013,539.05
708,593,31,4,2/25/2014,791.21
709,017,11,0,11/25/2013,308.03
710,858,18,9,8/30/2013,742.44
711,816,65,0,4/27/2013,486.02
712,529,39,9,7/4/2013,782.42
713,586,85,2,1/9/2013,693.43
714,640,39,6,12/28/2013,777.43
715,484,08,2,3/1/2013,692.6
716,278,96,9,7/15/2014,410.45
717,740,71,2,8/15/2014,551.5
718,714,29,8,10/13/2014,658.04
719,877,78,0,3/27/2014,418.14
720,992,95,4,10/26/2013,326.0
721,864,90,6,2/22/2013,542.83
722,242,03,5,11/25/2014,472.04
723,723,01,2,5/25/2013,746.86
724,340,89,8,1/27/2014,158.42
725,800,61,9,1/4/2014,524.76
726,248,88,6,9/20/2013,243.55
727,352,85,7,4/3/2013,497.81
728,927,92,1,4/24/2014,834.55
729,100,84,2,6/10/2013,529.24
730,563,22,3,5/10/2013,595.36
731,178,21,8,1/26/2014,475.12
